a7,"{""microHenries"":186.261,""ohms"":14.895}","{""microHenries"":186.067,""ohms"":18.342}","{""microHenries"":186.404,""ohms"":18.496}","{""microHenries"":186.56,""ohms"":18.432}","{""microHenries"":170.898,""ohms"":16.157}","{""microHenries"":186.171,""ohms"":17.877}","{""microHenries"":185.421,""ohms"":16.49}","{""microHenries"":8.285,""ohms"":118.088}"
a10,"{""microHenries"":170.268,""ohms"":13.064}","{""microHenries"":186.008,""ohms"":18.073}","{""microHenries"":186.186,""ohms"":17.171}","{""microHenries"":186.467,""ohms"":18.257}","{""microHenries"":186.631,""ohms"":16.894}","{""microHenries"":186.091,""ohms"":16.747}","{""microHenries"":185.74,""ohms"":17.608}","{""microHenries"":8.29,""ohms"":114.421}"
7,"{""microHenries"":186.06,""ohms"":15.666}","{""microHenries"":186.061,""ohms"":18.155}","{""microHenries"":186.225,""ohms"":18.032}","{""microHenries"":174.8,""ohms"":17.843}","{""microHenries"":186.555,""ohms"":17.063}","{""microHenries"":185.971,""ohms"":17.453}","{""microHenries"":185.61,""ohms"":16.883}","{""microHenries"":8.299,""ohms"":117.063}"
a20,"{""microHenries"":185.896,""ohms"":12.802}","{""microHenries"":186.094,""ohms"":17.52}","{""microHenries"":186.358,""ohms"":17.913}","{""microHenries"":186.53,""ohms"":17.632}","{""microHenries"":186.72,""ohms"":17.982}","{""microHenries"":186.25,""ohms"":17.765}","{""microHenries"":185.803,""ohms"":17.977}","{""microHenries"":8.497,""ohms"":116.323}"
56,"{""microHenries"":185.901,""ohms"":14.655}","{""microHenries"":185.859,""ohms"":16.989}","{""microHenries"":186.07,""ohms"":16.141}","{""microHenries"":143.326,""ohms"":12.68}","{""microHenries"":186.26,""ohms"":13.793}","{""microHenries"":186.023,""ohms"":17.177}","{""microHenries"":185.456,""ohms"":18.056}","{""microHenries"":8.111,""ohms"":105.228}"
29,"{""microHenries"":171.096,""ohms"":14.587}","{""microHenries"":185.729,""ohms"":14.415}","{""microHenries"":185.736,""ohms"":13.332}","{""microHenries"":186.407,""ohms"":17.041}","{""microHenries"":186.65,""ohms"":16.246}","{""microHenries"":186.148,""ohms"":16.023}","{""microHenries"":185.75,""ohms"":16.927}","{""microHenries"":8.327,""ohms"":105.321}"
10,"{""microHenries"":170.39,""ohms"":9.72}","{""microHenries"":186.13,""ohms"":16.833}","{""microHenries"":186.378,""ohms"":16.343}","{""microHenries"":186.687,""ohms"":16.982}","{""microHenries"":186.784,""ohms"":16.49}","{""microHenries"":186.33,""ohms"":16.276}","{""microHenries"":185.968,""ohms"":16.904}","{""microHenries"":8.356,""ohms"":107.221}"
5,"{""microHenries"":185.846,""ohms"":11.594}","{""microHenries"":186.149,""ohms"":15.649}","{""microHenries"":186.352,""ohms"":16.748}","{""microHenries"":186.456,""ohms"":17.151}","{""microHenries"":170.992,""ohms"":15.313}","{""microHenries"":186.301,""ohms"":15.737}","{""microHenries"":185.524,""ohms"":17.031}","{""microHenries"":8.352,""ohms"":106.748}"
54,"{""microHenries"":186.31,""ohms"":15.547}","{""microHenries"":186.088,""ohms"":16.98}","{""microHenries"":186.123,""ohms"":15.998}","{""microHenries"":186.172,""ohms"":14.273}","{""microHenries"":186.422,""ohms"":13.373}","{""microHenries"":186.198,""ohms"":15.98}","{""microHenries"":185.728,""ohms"":17.161}","{""microHenries"":8.434,""ohms"":105.827}"
33,"{""microHenries"":185.837,""ohms"":13.253}","{""microHenries"":186.079,""ohms"":15.519}","{""microHenries"":186.302,""ohms"":17.076}","{""microHenries"":186.29,""ohms"":14.856}","{""microHenries"":186.568,""ohms"":14.459}","{""microHenries"":186.045,""ohms"":15.244}","{""microHenries"":185.729,""ohms"":17.572}","{""microHenries"":8.451,""ohms"":105.021}"
77,"{""microHenries"":170.516,""ohms"":13.377}","{""microHenries"":186.114,""ohms"":21.253}","{""microHenries"":186.304,""ohms"":19.954}","{""microHenries"":186.453,""ohms"":19.192}","{""microHenries"":186.517,""ohms"":16.672}","{""microHenries"":186.246,""ohms"":17.337}","{""microHenries"":185.636,""ohms"":17.839}","{""microHenries"":8.296,""ohms"":122.208}"
62,"{""microHenries"":186.034,""ohms"":13.825}","{""microHenries"":186.062,""ohms"":18.062}","{""microHenries"":186.362,""ohms"":17.973}","{""microHenries"":186.726,""ohms"":19.584}","{""microHenries"":186.603,""ohms"":17.319}","{""microHenries"":186.169,""ohms"":17.473}","{""microHenries"":185.602,""ohms"":16.989}","{""microHenries"":8.401,""ohms"":117.949}"
61,"{""microHenries"":186.229,""ohms"":14.839}","{""microHenries"":186.206,""ohms"":18.716}","{""microHenries"":186.313,""ohms"":17.109}","{""microHenries"":186.703,""ohms"":20.195}","{""microHenries"":186.713,""ohms"":16.903}","{""microHenries"":186.193,""ohms"":17.971}","{""microHenries"":185.501,""ohms"":16.553}","{""microHenries"":8.391,""ohms"":119.215}"
58,"{""microHenries"":171.278,""ohms"":13.218}","{""microHenries"":185.982,""ohms"":16.529}","{""microHenries"":186.077,""ohms"":15.381}","{""microHenries"":186.65,""ohms"":17.177}","{""microHenries"":186.651,""ohms"":16.218}","{""microHenries"":186.043,""ohms"":16.971}","{""microHenries"":185.65,""ohms"":17.822}","{""microHenries"":8.337,""ohms"":107.287}"
